date,value
3/10/2011,6.022335285
3/11/2011,5.979621183
3/12/2011,6.022067119
3/13/2011,6.015159739
3/14/2011,6.012901489
3/15/2011,6.007871702
3/16/2011,6.008342629
3/17/2011,6.042348606
3/18/2011,6.056805671
3/19/2011,6.045545986
3/20/2011,6.025689581
3/21/2011,6.025805832
3/22/2011,6.025092209
3/23/2011,6.019367841
3/24/2011,6.02559506
3/25/2011,6.054455949
3/26/2011,6.040948365
3/27/2011,6.032088002
3/28/2011,6.023562238
3/29/2011,6.016473482
3/30/2011,6.025383083
3/31/2011,6.030361393
4/1/2011,6.038384212
4/2/2011,6.049827383
4/3/2011,6.049525327
4/4/2011,6.029556588
4/5/2011,6.022384407
4/6/2011,6.031109975
4/7/2011,6.014364996
4/8/2011,6.03748564
4/9/2011,6.045089165
4/10/2011,6.032228074
4/11/2011,6.022906339
4/12/2011,6.02114857
4/13/2011,6.022129509
4/14/2011,6.024358315
4/15/2011,6.05242885
4/16/2011,6.035904973
4/17/2011,6.029070119
4/18/2011,6.022687421
4/19/2011,6.019696217
4/20/2011,6.033364687
4/21/2011,6.041613198
4/22/2011,6.057430829
4/23/2011,6.050909374
4/24/2011,6.088385276
4/25/2011,6.015242047
4/26/2011,6.019955103
4/27/2011,6.008531463
4/28/2011,6.020709317
4/29/2011,6.085887806
4/30/2011,6.05129229
5/1/2011,5.985912872
5/2/2011,5.925316861
5/3/2011,6.001419981
5/4/2011,6.011079626
5/5/2011,6.020333483
5/6/2011,6.044666902
5/7/2011,6.040966993
5/8/2011,6.100741831
5/9/2011,6.012526026
5/10/2011,6.019679169
5/11/2011,6.005427903
5/12/2011,6.009659157
5/13/2011,6.037234125
5/14/2011,6.036938109
5/15/2011,6.013935809
5/16/2011,6.003257336
5/17/2011,6.016106746
5/18/2011,6.012088999
5/19/2011,6.019906316
5/20/2011,6.026562169
5/21/2011,6.015748466
5/22/2011,6.027055571
5/23/2011,6.013608539
5/24/2011,6.002602576
5/25/2011,6.008706711
5/26/2011,6.007681425
5/27/2011,6.041940319
5/28/2011,6.037689648
5/29/2011,6.021411718
5/30/2011,6.014095413
5/31/2011,6.004646876
6/1/2011,6.01318512
6/2/2011,6.013676191
6/3/2011,6.036845852
6/4/2011,6.029753759
6/5/2011,6.016083322
6/6/2011,5.994471375
6/7/2011,6.001619973
6/8/2011,5.998509086
6/9/2011,6.006876779
6/10/2011,6.022943552
6/11/2011,6.028822499
6/12/2011,6.007006729
6/13/2011,6.006287544
6/14/2011,6.01314322
6/15/2011,6.010013229
6/16/2011,6.008111701
6/17/2011,6.0297541
6/18/2011,6.036815344
6/19/2011,6.081142227
6/20/2011,5.998581519
6/21/2011,6.009177525
6/22/2011,5.996760789
6/23/2011,5.998767463
6/24/2011,6.026194498
6/25/2011,6.024410583
6/26/2011,6.000115767
6/27/2011,6.005264761
6/28/2011,6.002699983
6/29/2011,6.004199005
6/30/2011,6.012515063
7/1/2011,6.041332687
7/2/2011,6.023285584
7/3/2011,6.017447823
7/4/2011,6.040894231
7/5/2011,5.956409994
7/6/2011,6.000409489
7/7/2011,6.001083373
7/8/2011,6.014599007
7/9/2011,6.013511859
7/10/2011,6.00468792
7/11/2011,6.002784253
7/12/2011,6.003170726
7/13/2011,5.994711057
7/14/2011,6.00657277
7/15/2011,6.020345401
7/16/2011,6.019621372
7/17/2011,6.00124624
7/18/2011,5.988014923
7/19/2011,5.992744405
7/20/2011,5.996372441
7/21/2011,6.000362796
7/22/2011,6.015054876
7/23/2011,5.947777001
7/24/2011,5.995254676
7/25/2011,5.980374051
7/26/2011,6.004451365
7/27/2011,5.998298619
7/28/2011,5.996150767
7/29/2011,6.014136001
7/30/2011,6.012130358
7/31/2011,6.000222469
8/1/2011,5.989292235
8/2/2011,5.987976689
8/3/2011,5.988883204
8/4/2011,5.995812327
8/5/2011,6.014235104
8/6/2011,5.997383825
8/7/2011,6.003890534
8/8/2011,5.949218073
8/9/2011,5.949828449
8/10/2011,5.977454131
8/11/2011,5.983612341
8/12/2011,6.016457856
8/13/2011,6.001728411
8/14/2011,5.998216636
8/15/2011,5.994914254
8/16/2011,5.999185051
8/17/2011,6.002619268
8/18/2011,5.992999385
8/19/2011,6.020521664
8/20/2011,6.012800976
8/21/2011,5.994354106
8/22/2011,5.994669864
8/23/2011,5.948201228
8/24/2011,5.992255783
